iter	Passed	Remaining
0	135	135801
1	139	69826
2	144	48093
3	149	37182
4	153	30554
5	157	26142
6	161	22962
7	166	20660
8	171	18856
9	175	17415
10	180	16211
11	184	15202
12	189	14358
13	193	13647
14	198	13003
15	202	12437
16	206	11928
17	209	11409
18	211	10919
19	214	10490
20	216	10076
21	218	9693
22	219	9340
23	221	9019
24	223	8713
25	225	8432
26	226	8166
27	228	7920
28	229	7687
29	230	7466
30	232	7259
31	233	7063
32	234	6877
33	235	6704
34	237	6540
35	238	6381
36	239	6234
37	240	6092
38	241	5955
39	243	5839
40	244	5721
41	245	5603
42	246	5486
43	247	5375
44	248	5268
45	249	5168
46	250	5070
47	251	4983
48	252	4908
49	254	4826
50	255	4745
51	256	4667
52	257	4598
53	258	4528
54	259	4459
55	260	4393
56	261	4329
57	262	4269
58	263	4207
59	264	4148
60	265	4093
61	267	4042
62	268	3990
63	269	3939
64	270	3889
65	271	3840
66	272	3792
67	272	3739
68	273	3693
69	274	3649
70	275	3606
71	276	3564
72	277	3523
73	278	3483
74	279	3445
75	280	3407
76	281	3375
77	282	3343
78	283	3308
79	284	3275
80	285	3241
81	286	3209
82	287	3177
83	288	3146
84	289	3113
85	290	3083
86	290	3051
87	291	3023
88	292	2995
89	293	2968
90	294	2942
91	295	2917
92	297	2896
93	298	2872
94	298	2847
95	299	2823
96	300	2800
97	301	2776
98	302	2754
99	303	2732
100	304	2710
101	304	2685
102	305	2664
103	306	2643
104	307	2622
105	308	2603
106	309	2584
107	310	2567
108	312	2550
109	313	2532
110	314	2515
111	315	2499
112	316	2482
113	317	2465
114	318	2448
115	318	2430
116	319	2414
117	320	2398
118	321	2381
119	322	2366
120	323	2352
121	326	2346
122	326	2329
123	327	2314
124	328	2300
125	329	2287
126	331	2275
127	331	2259
128	332	2247
129	334	2235
130	335	2223
131	336	2211
132	337	2200
133	338	2188
134	340	2179
135	341	2170
136	342	2158
137	343	2145
138	344	2133
139	345	2122
140	346	2111
141	347	2100
142	348	2089
143	349	2078
144	350	2068
145	351	2058
146	352	2047
147	354	2038
148	355	2030
149	356	2021
150	357	2011
151	358	2002
152	359	1992
153	360	1982
154	361	1972
155	362	1963
156	363	1954
157	365	1945
158	366	1936
159	367	1928
160	368	1919
161	369	1912
162	371	1906
163	372	1898
164	373	1890
165	374	1882
166	375	1873
167	376	1865
168	377	1857
169	378	1849
170	379	1841
171	380	1833
172	381	1825
173	382	1817
174	384	1811
175	385	1805
176	386	1798
177	387	1791
178	388	1784
179	390	1776
180	390	1767
181	391	1759
182	392	1752
183	393	1745
184	394	1738
185	395	1732
186	397	1726
187	398	1720
188	399	1714
189	401	1710
190	402	1704
191	403	1697
192	404	1691
193	405	1685
194	406	1679
195	407	1673
196	408	1666
197	409	1659
198	410	1653
199	411	1647
200	412	1641
201	414	1636
202	415	1631
203	416	1625
204	417	1620
205	418	1614
206	419	1608
207	420	1602
208	421	1597
209	423	1591
210	424	1585
211	425	1580
212	426	1574
213	427	1568
214	428	1563
215	429	1558
216	430	1553
217	431	1548
218	432	1542
219	433	1537
220	434	1532
221	435	1526
222	436	1521
223	437	1516
224	438	1511
225	439	1506
226	440	1501
227	441	1495
228	442	1491
229	444	1486
230	445	1482
231	446	1477
232	447	1473
233	448	1468
234	449	1463
235	450	1458
236	451	1453
237	452	1449
238	453	1444
239	454	1439
240	455	1435
241	456	1430
242	457	1426
243	459	1422
244	460	1419
245	461	1414
246	462	1410
247	463	1405
248	464	1401
249	465	1396
250	466	1392
251	467	1387
252	468	1383
253	469	1379
254	470	1375
255	471	1371
256	472	1367
257	474	1364
258	475	1359
259	476	1356
260	477	1352
261	478	1349
262	480	1345
263	480	1340
264	482	1336
265	483	1333
266	484	1328
267	484	1324
268	486	1320
269	487	1317
270	488	1313
271	489	1310
272	490	1306
273	492	1303
274	493	1300
275	494	1296
276	495	1292
277	496	1289
278	497	1285
279	498	1282
280	499	1278
281	500	1274
282	501	1270
283	503	1268
284	504	1265
285	505	1261
286	506	1258
287	507	1254
288	508	1251
289	509	1247
290	510	1244
291	511	1240
292	512	1237
293	513	1233
294	514	1230
295	515	1226
296	516	1223
297	518	1220
298	519	1217
299	520	1214
300	521	1210
301	522	1207
302	523	1204
303	524	1201
304	525	1197
305	526	1194
306	527	1191
307	528	1188
308	529	1185
309	530	1181
310	532	1178
311	533	1176
312	534	1173
313	535	1170
314	536	1166
315	537	1163
316	538	1160
317	539	1157
318	540	1154
319	541	1151
320	542	1148
321	543	1145
322	544	1141
323	545	1139
324	547	1136
325	548	1134
326	549	1131
327	550	1128
328	551	1125
329	552	1122
330	554	1119
331	555	1116
332	556	1113
333	557	1110
334	558	1107
335	559	1105
336	560	1102
337	561	1099
338	563	1097
339	564	1095
340	565	1092
341	566	1089
342	567	1086
343	568	1084
344	569	1081
345	570	1078
346	571	1075
347	572	1072
348	573	1069
349	574	1067
350	575	1064
351	577	1062
352	578	1060
353	579	1057
354	580	1055
355	581	1052
356	582	1049
357	583	1046
358	584	1043
359	585	1041
360	586	1038
361	587	1035
362	588	1033
363	589	1030
364	590	1027
365	591	1025
366	593	1023
367	594	1020
368	595	1018
369	596	1015
370	597	1013
371	598	1010
372	599	1008
373	600	1005
374	601	1003
375	602	1000
376	603	998
377	604	995
378	606	993
379	607	991
380	608	988
381	609	986
382	610	984
383	611	981
384	613	979
385	614	976
386	615	974
387	616	971
388	617	969
389	618	967
390	619	964
391	620	962
392	621	960
393	622	957
394	623	955
395	625	953
396	626	950
397	627	948
398	628	946
399	629	944
400	630	941
401	631	939
402	632	936
403	633	935
404	635	933
405	636	931
406	637	928
407	638	926
408	639	924
409	640	921
410	641	919
411	642	917
412	644	915
413	645	913
414	646	910
415	647	908
416	648	906
417	649	903
418	650	901
419	651	899
420	652	897
421	653	895
422	654	893
423	655	890
424	656	888
425	657	886
426	658	884
427	659	881
428	660	879
429	662	877
430	663	875
431	664	873
432	665	870
433	666	869
434	667	867
435	668	865
436	669	862
437	670	860
438	671	858
439	672	856
440	674	854
441	675	852
442	676	850
443	677	848
444	679	846
445	680	844
446	681	843
447	682	841
448	683	838
449	684	836
450	685	834
451	686	832
452	687	830
453	689	828
454	690	826
455	691	824
456	692	822
457	693	820
458	694	818
459	695	816
460	697	815
461	698	812
462	699	810
463	700	808
464	701	806
465	702	804
466	703	802
467	704	801
468	705	799
469	706	796
470	707	794
471	708	792
472	709	790
473	711	789
474	712	787
475	713	785
476	714	783
477	715	781
478	716	779
479	717	777
480	718	775
481	719	773
482	720	771
483	721	769
484	722	767
485	724	765
486	725	764
487	726	762
488	727	760
489	728	758
490	729	756
491	731	754
492	732	753
493	733	751
494	734	749
495	735	747
496	736	745
497	737	743
498	738	741
499	739	739
500	741	738
501	742	736
502	743	734
503	744	732
504	745	730
505	746	728
506	747	726
507	748	725
508	749	723
509	750	721
510	751	719
511	752	717
512	753	715
513	755	713
514	756	712
515	757	710
516	758	708
517	759	706
518	760	704
519	761	702
520	762	701
521	763	699
522	764	697
523	765	695
524	766	693
525	767	692
526	769	690
527	770	688
528	771	686
529	772	684
530	773	682
531	774	681
532	775	679
533	776	677
534	777	675
535	778	674
536	779	672
537	780	670
538	782	668
539	782	666
540	784	665
541	785	663
542	786	661
543	787	660
544	788	658
545	789	656
546	790	654
547	791	653
548	792	651
549	794	649
550	795	647
551	796	646
552	797	644
553	798	642
554	800	641
555	801	639
556	802	638
557	803	636
558	804	634
559	805	633
560	806	631
561	807	629
562	808	627
563	809	626
564	810	624
565	811	622
566	813	620
567	814	619
568	816	618
569	817	616
570	818	614
571	819	612
572	820	611
573	821	609
574	822	607
575	823	605
576	824	604
577	825	602
578	826	600
579	827	599
580	828	597
581	830	596
582	831	594
583	832	592
584	833	591
585	834	589
586	835	587
587	836	585
588	837	584
589	838	582
590	838	580
591	839	578
592	841	577
593	842	575
594	843	574
595	844	572
