iter	Passed	Remaining
0	241	241415
1	243	121672
2	245	81500
3	247	61532
4	248	49482
5	250	41428
6	251	35665
7	252	31349
8	254	27973
9	255	25284
10	256	23086
11	258	21276
12	260	19743
13	262	18481
14	263	17324
15	265	16324
16	266	15430
17	268	14626
18	269	13911
19	270	13257
20	271	12664
21	272	12128
22	273	11637
23	275	11189
24	276	10789
25	277	10414
26	279	10065
27	280	9744
28	282	9464
29	283	9181
30	285	8915
31	286	8665
32	287	8435
33	289	8217
34	290	8011
35	292	7822
36	293	7641
37	294	7466
38	296	7299
39	297	7138
40	298	6988
41	299	6841
42	301	6701
43	302	6568
44	303	6438
45	304	6318
46	305	6204
47	307	6095
48	309	5998
49	310	5895
50	311	5794
51	312	5695
52	313	5606
53	314	5517
54	316	5430
55	317	5350
56	318	5272
57	320	5200
58	321	5128
59	322	5058
60	323	4986
61	324	4916
62	325	4848
63	326	4782
64	328	4719
65	329	4658
66	330	4600
67	331	4542
68	332	4489
69	334	4437
70	335	4388
71	337	4344
72	338	4295
73	339	4245
74	340	4197
75	341	4152
76	342	4106
77	343	4060
78	344	4018
79	345	3976
80	347	3937
81	348	3905
82	349	3862
83	351	3828
84	352	3791
85	353	3754
86	354	3718
87	355	3683
88	356	3649
89	357	3616
90	358	3584
91	359	3552
92	361	3522
93	362	3496
94	364	3469
95	365	3445
96	367	3417
97	368	3389
98	369	3361
99	370	3333
100	371	3306
101	372	3280
102	373	3256
103	375	3233
104	376	3210
105	377	3187
106	379	3165
107	380	3144
108	381	3121
109	383	3100
110	384	3077
111	385	3055
112	386	3034
113	387	3012
114	388	2991
115	389	2972
116	390	2950
117	392	2933
118	394	2918
119	395	2900
120	396	2882
121	397	2861
122	398	2843
123	399	2825
124	401	2807
125	402	2789
126	402	2769
127	403	2751
128	406	2744
129	408	2730
130	409	2715
131	410	2701
132	411	2685
133	413	2669
134	414	2654
135	415	2638
136	416	2622
137	417	2606
138	418	2592
139	419	2577
140	420	2563
141	421	2548
142	423	2536
143	424	2523
144	425	2510
145	426	2497
146	428	2483
147	429	2470
148	430	2457
149	431	2445
150	432	2434
151	434	2421
152	435	2409
153	436	2398
154	438	2388
155	439	2377
156	440	2366
157	441	2354
158	442	2342
159	444	2331
160	445	2319
161	446	2308
162	447	2297
163	448	2286
164	449	2275
165	451	2265
166	452	2256
167	453	2246
168	454	2237
169	455	2226
170	456	2215
171	458	2204
172	459	2194
173	460	2184
174	461	2174
175	462	2164
176	463	2154
177	464	2145
178	465	2137
179	468	2135
180	469	2126
181	470	2116
182	471	2106
183	472	2097
184	473	2087
185	474	2078
186	475	2069
187	476	2060
188	478	2051
189	479	2043
190	480	2035
191	482	2028
192	483	2021
193	484	2013
194	485	2005
195	486	1997
196	487	1988
197	489	1981
198	490	1973
199	491	1966
200	492	1958
201	493	1950
202	494	1943
203	496	1937
204	497	1931
205	499	1924
206	500	1916
207	501	1909
208	502	1902
209	503	1895
210	505	1888
211	506	1882
212	507	1875
213	510	1873
214	511	1867
215	513	1864
216	514	1857
217	515	1850
218	517	1843
219	518	1837
220	519	1830
221	520	1823
222	521	1817
223	522	1810
224	523	1804
225	525	1799
226	527	1795
227	528	1789
228	529	1783
229	531	1778
230	532	1772
231	533	1766
232	534	1759
233	535	1753
234	536	1747
235	537	1740
236	538	1735
237	539	1728
238	541	1723
239	542	1717
240	543	1711
241	544	1705
242	545	1699
243	546	1693
244	547	1687
245	548	1682
246	549	1676
247	551	1671
248	552	1666
249	553	1661
250	555	1656
251	556	1651
252	557	1646
253	559	1642
254	560	1636
255	561	1632
256	562	1627
257	563	1621
258	565	1616
259	566	1611
260	567	1607
261	568	1602
262	570	1597
263	571	1592
264	572	1588
265	573	1583
266	574	1578
267	575	1572
268	576	1567
269	577	1562
270	579	1557
271	580	1552
272	581	1547
273	582	1543
274	583	1539
275	586	1538
276	587	1534
277	589	1529
278	590	1525
279	591	1521
280	592	1516
281	593	1511
282	594	1506
283	595	1501
284	596	1497
285	597	1492
286	599	1489
287	600	1485
288	602	1481
289	603	1477
290	604	1472
291	605	1468
292	606	1463
293	607	1459
294	608	1454
295	609	1450
296	610	1446
297	612	1443
298	614	1440
299	615	1436
300	617	1432
301	618	1428
302	619	1424
303	620	1420
304	621	1415
305	622	1411
306	623	1407
307	624	1403
308	625	1399
309	627	1396
310	629	1393
311	630	1390
312	632	1387
313	633	1383
314	634	1379
315	635	1375
316	636	1371
317	637	1368
318	638	1363
319	640	1360
320	641	1356
321	642	1352
322	644	1351
323	646	1348
324	647	1344
325	648	1340
326	649	1337
327	650	1333
328	651	1329
329	652	1325
330	653	1321
331	654	1317
332	655	1313
333	657	1310
334	658	1307
335	659	1304
336	661	1300
337	662	1297
338	663	1293
339	664	1289
340	665	1285
341	666	1282
342	667	1278
343	668	1274
344	669	1271
345	670	1267
346	671	1264
347	673	1261
348	674	1258
349	676	1255
350	677	1252
351	678	1248
352	679	1245
353	680	1241
354	681	1237
355	682	1234
356	683	1231
357	684	1227
358	686	1224
359	687	1221
360	688	1219
361	690	1216
362	691	1213
363	692	1210
364	693	1206
365	694	1203
366	695	1200
367	697	1197
368	698	1194
369	699	1190
370	700	1187
371	701	1184
372	703	1182
373	704	1179
374	705	1176
375	706	1173
376	707	1169
377	709	1166
378	710	1163
379	711	1160
380	712	1157
381	713	1154
382	714	1151
383	715	1148
384	717	1146
385	718	1143
386	719	1140
387	720	1137
388	722	1134
389	723	1131
390	724	1128
391	725	1125
392	727	1122
393	728	1119
394	729	1117
395	730	1114
396	732	1112
397	733	1110
398	735	1107
399	736	1104
400	737	1101
401	738	1098
402	739	1095
403	740	1093
404	742	1090
405	743	1087
406	744	1084
407	745	1081
408	747	1079
409	748	1077
410	749	1074
411	750	1071
412	752	1068
413	753	1066
414	754	1063
415	755	1060
416	756	1057
417	757	1055
418	759	1052
419	760	1049
420	761	1047
421	763	1045
422	764	1042
423	765	1040
424	766	1037
425	768	1035
426	769	1032
427	770	1030
428	771	1027
429	772	1024
430	774	1021
431	775	1019
432	776	1017
433	778	1014
434	779	1012
435	780	1009
436	781	1007
437	782	1004
438	784	1001
439	785	999
440	786	996
441	787	993
442	788	991
443	789	988
444	790	986
445	792	984
446	793	982
447	795	979
448	796	977
449	797	974
